"10003";"Bakken";"Gabriella";"1933-10-11";"Sofie Hartmanns vei 235";"";"";""
"10004";"Skaug";"Amelie";"1950-30-1";"Øvre Åsvei 34";"";"";""
"10005";"Stabell";"William";"1976-10-5";"Kristian Lofthus gate 148";"";"";""
"10006";"Brastad";"Emmy";"1987-16-11";"Bjørnemyra 56";"";"";""
"10007";"Melheim";"Diana";"1997-21-11";"Toppåsjordet 44";"";"";""
"10008";"Olsen";"Emrik";"1955-18-12";"Olav Bjålands veg 47";"";"";""
"10009";"Berget";"Maria";"1984-10-3";"Holbekkveien 132";"";"";""
"10010";"Bruun";"Einar";"1988-31-8";"Rømmekollen 85";"";"";""
"10011";"Ahmed";"Elias";"1960-22-5";"Kollerøysveien 127";"";"";""
"10012";"Christensen";"Edvard";"1990-10-11";"Sjøveien 248";"";"";""
"10013";"Kristiansen";"Vilde";"1956-7-4";"Søreidåsen 106";"";"";""
"10014";"Markussen";"Thea";"1976-12-11";"Barlindvegen 21";"";"";""
"10015";"Moan";"Petra";"1984-7-2";"Oscar Dahls vei 129";"";"";""
"10016";"Marken";"Tobias";"1944-30-11";"Tveitanvegen 152";"";"";""
"10017";"Huseby";"Trym";"1944-14-11";"Ladeveien 42";"";"";""
"10018";"Koppang";"Iver";"1945-28-2";"Sagåsen 21";"";"";""
"10019";"Teigen";"Sindre";"1959-4-8";"Tartargaten 25";"";"";""
"10020";"Tonning";"Torstein";"1995-3-2";"Springklev 99";"";"";""
"10021";"Lorentsen";"Ea";"1973-18-12";"Harlows gate 121";"";"";""
"10022";"Jensen";"Marius";"1979-10-12";"Hockeyveien 29";"";"";""
"10023";"Hageland";"Lotte";"1967-12-3";"Jakob Weidemanns gate 14";"";"";""
"10024";"Berg";"Ina";"1980-28-2";"Lillemyr 2";"";"";""
"10025";"Kvalvik";"Rebekka";"1943-26-8";"Gubberogata 64";"";"";""
"10026";"Øygarden";"Daniel";"1962-19-9";"Banksjef Kleppes gate 30";"";"";""
"10027";"Sjåvik";"Thilde";"1993-14-2";"Radiovegen 242";"";"";""
"10028";"Leiknes";"Ella";"1944-4-5";"Holmen 186";"";"";""
"10029";"Fremstad";"Josefine";"1970-20-1";"Hampengen 109";"";"";""
"10030";"Risøy";"Tinius";"1976-27-5";"Martha Tynes' vei 204";"";"";""
"10031";"Larsen";"Fatima";"1960-19-7";"Ingvald Forsbergs vei 195";"";"";""
"10032";"Andreassen";"Amalie";"1990-18-4";"Ensjøsvingen 122";"";"";""
"10033";"Marthinsen";"Walter";"1978-20-7";"Langsida 2";"";"";""
"10034";"Berntzen";"Linus";"1992-26-12";"Tyslandsløkka 97";"";"";""
"10035";"Grue";"Sebastian";"1949-25-10";"Herøya 110";"";"";""
"10036";"Eskeland";"Mikal";"1980-31-12";"Svartefjell 140";"";"";""
"10037";"Soleng";"Nora";"1950-19-6";"Urbyes vei 78";"";"";""
"10038";"Aspelund";"Brian";"1988-12-9";"Nordeidstølen 162";"";"";""
"10039";"Andersen";"Edgar";"1977-16-1";"Frøyas gate 194";"";"";""
"10040";"Olsen";"Simen";"1959-1-2";"Løvika 153";"";"";""
"10041";"Nilssen";"Astri";"1976-9-10";"Rosteds vei 111";"";"";""
"10042";"Kristiansen";"Elise";"1947-18-12";"Fjellia 29";"";"";""
"10043";"Bashir";"Sol";"1960-26-9";"Rimsoppfaret 56";"";"";""
"10044";"Mohamud";"Daniel";"1960-28-1";"Fridtjof Nansens veg 176";"";"";""
"10045";"Karstensen";"Emil";"1965-3-8";"Nøkledypveien 97";"";"";""
"10046";"Bjørvik";"Martina";"1940-4-8";"Hans Langbachs vei 97";"";"";""
